Gene_ID,Other_IDs
M9H77_27617,"CRO_T005097, CRO_T124647"
M9H77_27618,CRO_T015074
M9H77_27620,CRO_T000372
M9H77_27623,"CRO_T029701, CRO_T116945"
M9H77_27627,"CRO_T029703, CRO_T116951"
M9H77_27628,"CRO_T029702, Cro001G.19800.1.p1, Cro001G.19800.2.p1, Cro001G.19800.4.p1, Cro001G.19800.5.p1, CRO_T116954"
M9H77_27631,"CRO_T026220, CrChr7.1582, CRO_T116956"
M9H77_27634,Cro001G.19796.1.p1
M9H77_27636,CrChr7.1579
M9H77_27638,"CRO_T009875, CRO_T116962"
M9H77_27639,CRO_T009877
M9H77_27640,CrChr7.1577
M9H77_27642,CRO_T023576
M9H77_27643,CrChr7.1572
M9H77_27645,"CRO_T003988, CRO_T119537"
M9H77_27646,CRO_T003990
M9H77_27648,"CRO_T001348, Cro001G.19788.1.p1, CrChr7.1567, CRO_T119534"
M9H77_27649,CRO_T001349
M9H77_27650,CRO_T017837
M9H77_27651,"CRO_T000107, CRO_T119531"
M9H77_27652,CRO_T019358
M9H77_27654,CRO_T012296
M9H77_27656,"CRO_T027727, CRO_T119527"
M9H77_27657,"CRO_T027728, CRO_T119526"
M9H77_27658,"CRO_T027729, CRO_T119524"
M9H77_27659,CrChr7.1560
M9H77_27661,CRO_T003561
M9H77_27664,"Cro001G.19780.1.p1, CrChr7.1557"
M9H77_27667,"CRO_T015203, CRO_T117813"
M9H77_27669,CRO_T010896
M9H77_27671,"CRO_T014135, CrChr7.1555, CRO_T117815"
M9H77_27673,CRO_T025524
M9H77_27674,"CRO_T025519, Cro001G.19777.1.p1, Cro001G.19777.2.p1, Cro001G.19777.3.p1, Cro001G.19777.4.p1, Cro001G.19777.6.p1, Cro001G.19777.7.p1, Cro001G.19777.8.p1, CrChr7.1550, CRO_T117818"
M9H77_27675,"CrChr7.1549, CRO_T117822"
M9H77_27676,CrChr7.1548
M9H77_27677,CRO_T025525
M9H77_27678,"CRO_T025520, Cro001G.19774.1.p1, CRO_T117826"
M9H77_27681,Cro001G.19768.1.p1
M9H77_27683,"CRO_T015726, Cro001G.19772.1.p1, CrChr7.1542, CRO_T117828"
M9H77_27686,"CRO_T000692, CRO_T117830"
M9H77_27687,CRO_T000691
M9H77_27688,"Cro001G.19771.1.p1, CrChr7.1539"
M9H77_27689,"CRO_T013662, Cro001G.19770.1.p1, CrChr7.1538, CRO_T117834"
M9H77_27690,"Cro001G.19769.1.p1, CrChr7.1537"
M9H77_27691,"CRO_T013664, CRO_T117836"
M9H77_27700,CRO_T031872
M9H77_27702,"Cro001G.19764.1.p1, CrChr7.1526"
M9H77_27704,"CRO_T021175, Cro001G.19761.1.p1, Cro001G.19761.2.p1, Cro001G.19761.3.p1, CrChr7.1523, CRO_T117845"
M9H77_27705,CRO_T021177
M9H77_27706,"CRO_T021174, Cro001G.19762.1.p2, CrChr7.1521, CRO_T117848"
M9H77_27707,CrChr7.1520
M9H77_27708,CRO_T021173
M9H77_27710,"CRO_T021170, CrChr7.1516, CRO_T117853"
M9H77_27711,"CRO_T001193, CrChr7.1513, CrChr7.1514, CrChr7.1515, CRO_T139319"
M9H77_27712,CRO_T019890
M9H77_27713,CRO_T005331
M9H77_27716,"CRO_T005330, CrChr7.1511, CRO_T105725"
M9H77_27717,"Cro001G.19759.1.p1, CrChr7.1510"
M9H77_27720,"CRO_T011963, CRO_T105729"
M9H77_27721,CRO_T011964
M9H77_27722,"CRO_T011962, Cro001G.19748.1.p1, CrChr7.1504, CRO_T105731"
M9H77_27726,"CRO_T019862, Cro001G.19746.2.p1, CrChr7.1501, CRO_T105734"
M9H77_27728,"Cro001G.19757.1.p1, CrChr7.1499"
M9H77_27729,Cro001G.19756.1.p1
M9H77_27730,"CRO_T004291, Cro001G.19755.1.p1, CrChr7.1497, CRO_T105738"
M9H77_27731,"CRO_T027205, CrChr7.1496, CRO_T105739"
M9H77_27733,CRO_T010739
M9H77_27734,"Cro001G.19745.1.p1, Cro001G.19745.2.p1, CRO_T105741"
M9H77_27736,CRO_T012168
M9H77_27738,CRO_T025385
M9H77_27742,"Cro001G.19736.1.p1, Cro001G.19736.2.p1, CrChr7.1492"
M9H77_27744,"Cro001G.19734.1.p1, Cro001G.19734.2.p1, CrChr7.1490"
M9H77_27745,"CRO_T009777, CRO_T105748"
M9H77_27746,CRO_T009776
M9H77_27748,CRO_T019962
M9H77_27749,"CRO_T019961, Cro001G.19742.1.p1, CrChr7.1484, CRO_T105753"
M9H77_27750,"CRO_T019960, Cro001G.19741.1.p1"
M9H77_27751,"Cro001G.19740.2.p1, CrChr7.1481, CRO_T105755"
M9H77_27753,"CRO_T027264, CrChr7.1479, CRO_T105758"
M9H77_27760,CRO_T105765
M9H77_27761,CRO_T018884
M9H77_27763,CRO_T018885
M9H77_27764,Cro001G.19729.1.p1
M9H77_27765,Cro001G.19728.1.p1
M9H77_27766,CRO_T012774
M9H77_27767,CRO_T032396
M9H77_27768,CRO_T032395
M9H77_27769,"Cro001G.19727.1.p1, CrChr7.1473, CRO_T105773"
M9H77_27771,"CRO_T025555, CRO_T105776"
M9H77_27772,CRO_T017812
M9H77_27773,CRO_T031877
M9H77_27777,"CRO_T031767, CRO_T105778"
M9H77_27778,"CRO_T031765, Cro001G.19724.1.p1, CRO_T105779"
M9H77_27779,CRO_T031766
M9H77_27781,"CRO_T002049, Cro001G.19721.1.p1, CRO_T105781"
M9H77_27782,"CRO_T002051, CRO_T105782"
M9H77_27783,"Cro001G.19732.1.p1, Cro001G.19732.16.p1, Cro001G.19732.21.p1, Cro001G.19732.22.p1, Cro001G.19732.30.p1, Cro001G.19732.4.p1, Cro001G.19732.5.p1, Cro001G.19732.8.p1"
M9H77_27784,CRO_T013819
M9H77_27785,CRO_T013818
M9H77_27786,"CRO_T020867, CRO_T105786"
M9H77_27787,Cro001G.19714.1.p1
M9H77_27788,CRO_T016818
M9H77_27789,CRO_T016817
M9H77_27791,"CRO_T015267, CRO_T105791"
M9H77_27793,"CRO_T013789, CRO_T105795"
M9H77_27797,CRO_T024001
M9H77_27798,"CRO_T024000, CRO_T105799"
M9H77_27800,"CRO_T008415, CRO_T105802"
M9H77_27803,CRO_T003705
M9H77_27804,"CRO_T024158, CRO_T105806"
M9H77_27805,CRO_T021575
M9H77_27808,CRO_T019351
M9H77_27809,"Cro001G.19707.1.p1, CrChr7.1450"
M9H77_27812,"CRO_T024580, Cro001G.19705.1.p1, Cro001G.19705.2.p1, CrChr7.1447, CRO_T105816"
M9H77_27813,CRO_T024583
M9H77_27814,"Cro001G.19703.1.p1, CrChr7.1446"
M9H77_27815,"CRO_T024578, Cro001G.19704.1.p1, CrChr7.1445, CRO_T105818"
M9H77_27816,"CRO_T024582, CRO_T105819"
M9H77_27818,CRO_T019375
M9H77_27819,CrChr7.1444
M9H77_27820,"CRO_T019374, Cro001G.19702.5.p1, CrChr7.1443, CRO_T105822"
M9H77_27821,CRO_T019373
M9H77_27822,"CRO_T019372, Cro001G.19702.1.p2, Cro001G.19702.2.p2, Cro001G.19702.4.p2, Cro001G.19702.5.p2, CRO_T105824"
M9H77_27823,"Cro001G.19701.1.p1, CrChr7.1439, CRO_T105826"
M9H77_27824,"Cro001G.19699.1.p1, CrChr7.1438, CRO_T105828"
M9H77_27825,"Cro001G.19700.1.p1, CrChr7.1437"
M9H77_27828,"Cro001G.19697.1.p1, CrChr7.1435"
M9H77_27829,"CRO_T029565, Cro001G.19696.1.p1, CrChr7.1434, CRO_T105833"
M9H77_27830,"Cro001G.19695.1.p1, CrChr7.1433"
M9H77_27831,CRO_T002984
M9H77_27832,CRO_T002985
M9H77_27834,"Cro001G.19692.1.p1, CrChr7.1431"
M9H77_27835,"CRO_T014060, Cro001G.19690.1.p1, CrChr7.1430, CRO_T105840"
M9H77_27836,CRO_T016851
M9H77_27838,CrChr7.1426
M9H77_27841,"CRO_T012265, CrChr7.1424, CRO_T116778"
M9H77_27842,"CRO_T012266, Cro001G.19684.1.p1, CrChr7.1423, CRO_T116777"
M9H77_27844,"CRO_T017318, CRO_T116775"
M9H77_27846,Cro001G.19679.1.p1
M9H77_27847,"CRO_T008589, CRO_T116771"
M9H77_27848,"CRO_T008587, CRO_T116770"
M9H77_27849,"CRO_T008590, CRO_T116769"
M9H77_27850,CRO_T008585
M9H77_27851,"Cro001G.19682.1.p1, CRO_T116766"
M9H77_27852,"CRO_T008588, CrChr7.1418, CRO_T116765"
M9H77_27853,"CRO_T004943, Cro001G.19677.1.p1, CrChr7.1417, CRO_T116764"
M9H77_27854,CRO_T004942
M9H77_27858,CRO_T020082
M9H77_27859,"CRO_T020083, Cro001G.19675.1.p2, Cro001G.19676.1.p1, Cro001G.19676.2.p1, CrChr7.1411, CRO_T116761"
M9H77_27860,"Cro001G.19672.1.p1, Cro001G.19672.2.p1, CrChr7.1410, CRO_T116760"
M9H77_27861,"Cro001G.19670.1.p1, CRO_T116758"
M9H77_27862,"CRO_T023232, CRO_T116756"
M9H77_27863,CRO_T023229
M9H77_27864,CRO_T023228
M9H77_27865,Cro001G.19667.1.p1
M9H77_27866,CRO_T006578
M9H77_27869,"Cro001G.19668.1.p1, CrChr7.1405"
M9H77_27870,"Cro001G.19666.1.p1, CrChr7.1404"
M9H77_27871,"Cro001G.19665.1.p1, CrChr7.1403"
M9H77_27872,"CRO_T021929, CRO_T116746"
M9H77_27874,"CRO_T025261, Cro001G.19664.1.p1, CRO_T116744"
M9H77_27875,Cro001G.19669.3.p1
M9H77_27876,"Cro001G.19663.1.p2, Cro001G.19663.2.p2, Cro001G.19663.3.p1, Cro001G.19663.4.p1, Cro001G.19663.7.p1"
M9H77_27877,"CRO_T027075, Cro001G.19663.1.p3, Cro001G.19663.2.p3"
M9H77_27879,"CRO_T011637, CRO_T116738"
M9H77_27880,CRO_T011638
M9H77_27882,CrChr7.1388
M9H77_27883,"CRO_T000682, CrChr7.1387, CRO_T116735"
M9H77_27891,CRO_T013315
M9H77_27892,CRO_T013316
M9H77_27894,CRO_T029771
M9H77_27895,"CRO_T004267, CRO_T118175"
M9H77_27896,Cro001G.19656.1.p1
M9H77_27898,"CRO_T003725, CRO_T118178"
M9H77_27899,CRO_T031812
M9H77_27901,"CRO_T007857, CRO_T118179"
M9H77_27902,"CRO_T007858, CRO_T118180"
M9H77_27907,CRO_T007859
M9H77_27908,"CRO_T007137, Cro001G.19654.1.p1, CrChr7.1379, CRO_T118184"
M9H77_27909,"Cro001G.19653.1.p1, Cro001G.19653.2.p1, CrChr7.1378"
M9H77_27910,Cro001G.19650.1.p1
M9H77_27911,CRO_T021580
M9H77_27912,"CRO_T021579, CrChr7.1376, CRO_T118188"
M9H77_27913,"CRO_T021578, Cro001G.19649.1.p1, CrChr7.1375, CRO_T118189"
M9H77_27914,Cro001G.19647.1.p1
M9H77_27915,CRO_T002683
M9H77_27917,"Cro001G.19651.9.p1, CrChr7.1371"
M9H77_27919,CRO_T017484
M9H77_27920,"Cro001G.19646.1.p1, CrChr7.1369"
M9H77_27921,"Cro001G.19643.1.p1, Cro001G.19643.2.p1, CrChr7.1368, CRO_T118196"
M9H77_27922,"Cro001G.19644.1.p1, CrChr7.1367"
M9H77_27923,CRO_T028636
M9H77_27924,CRO_T009749
M9H77_27925,"CRO_T027941, Cro001G.19636.1.p1, CrChr7.1366, CRO_T118201"
M9H77_27926,"CRO_T011273, CrChr7.1365"
M9H77_27927,CRO_T015305
M9H77_27932,CRO_T001207
M9H77_27933,CRO_T001204
M9H77_27934,CRO_T001205
M9H77_27937,CRO_T007102
M9H77_27938,"CRO_T007104, CRO_T133993"
M9H77_27939,CRO_T007103
M9H77_27940,CRO_T023022
M9H77_27941,CRO_T013498
M9H77_27942,CRO_T019339
M9H77_27943,CRO_T019340
M9H77_27947,CRO_T013054
M9H77_27949,CRO_T013593
M9H77_27953,CRO_T029572
M9H77_27954,CRO_T033284
M9H77_27959,"CRO_T002473, CRO_T133960"
M9H77_27960,"CRO_T002474, CRO_T133959"
M9H77_27962,CRO_T001360
M9H77_27963,"Cro001G.19624.1.p1, CrChr7.1322, CRO_T133953"
M9H77_27964,"CRO_T016820, Cro001G.19623.1.p1, CRO_T133952"
M9H77_27967,CRO_T025137
M9H77_27968,CRO_T025138
M9H77_27969,"CRO_T001677, Cro001G.19620.1.p1, CrChr7.1319, CRO_T133948"
M9H77_27970,Cro001G.19618.1.p1
M9H77_27971,Cro001G.19619.1.p1
M9H77_27973,Cro001G.19616.1.p1
M9H77_27974,"CRO_T004195, CRO_T133942"
M9H77_27976,CRO_T012248
M9H77_27977,CRO_T012249
M9H77_27979,Cro001G.19617.1.p1
M9H77_27980,CRO_T033643
M9H77_27981,Cro001G.19609.1.p1
M9H77_27982,"Cro001G.19607.1.p1, CrChr7.1307"
M9H77_27986,"Cro001G.19608.1.p1, Cro001G.19608.2.p1, Cro001G.19608.3.p1, Cro001G.19608.4.p1, Cro001G.19608.5.p1, Cro001G.19608.6.p1, Cro001G.19608.7.p1, Cro001G.19608.8.p1, Cro001G.19608.9.p1, CrChr7.1303"
M9H77_27988,CRO_T028341
M9H77_27989,"Cro001G.19604.1.p1, CrChr7.1301, CRO_T133928"
M9H77_27990,CRO_T011935
M9H77_27991,CRO_T011936
M9H77_27992,"Cro001G.19603.1.p1, CRO_T133926"
M9H77_27993,"CRO_T024597, CRO_T133924"
M9H77_27994,CRO_T004069
M9H77_27997,"CRO_T025112, Cro001G.19599.1.p1"
M9H77_27998,CRO_T001201
M9H77_27999,"CRO_T001203, CRO_T133920"
M9H77_28000,"CRO_T001202, CRO_T133919"
M9H77_28001,Cro001G.19600.1.p1
M9H77_28002,"CRO_T016453, CRO_T133915"
M9H77_28006,CRO_T017312
M9H77_28007,"CRO_T017311, CRO_T133913"
M9H77_28009,CRO_T014450
M9H77_28010,"CRO_T014449, Cro001G.19594.1.p1"
M9H77_28014,"CRO_T002409, Cro001G.19601.1.p1, Cro001G.19601.3.p1, Cro001G.19601.4.p1, CrChr7.1291, CRO_T133909"
M9H77_28015,"CRO_T002408, CRO_T133908"
M9H77_28016,CrChr7.1289
M9H77_28017,"Cro001G.19590.1.p1, Cro001G.19590.4.p1, CrChr7.1288, CRO_T133905"
M9H77_28019,CRO_T025556
M9H77_28020,"CRO_T025558, CRO_T133902"
M9H77_28021,"CRO_T025557, Cro001G.19588.1.p1, CRO_T133901"
M9H77_28024,"CRO_T002356, CRO_T133897"
M9H77_28026,"CRO_T020240, CRO_T133891"
M9H77_28027,CRO_T017386
M9H77_28028,CRO_T017387
M9H77_28032,"CRO_T004002, CRO_T133883"
M9H77_28033,CRO_T020431
M9H77_28036,CRO_T009259
M9H77_28038,"CRO_T012829, CRO_T133875"
M9H77_28042,CRO_T006158
M9H77_28043,CRO_T025469
M9H77_28044,"CRO_T025553, CRO_T133867"
M9H77_28045,"CRO_T033285, CRO_T133866"
M9H77_28052,CRO_T014194
M9H77_28057,CRO_T031580
M9H77_28067,CRO_T022103
M9H77_28068,CRO_T000961
M9H77_28069,CRO_T000960
M9H77_28071,"CRO_T020424, CRO_T106448"
M9H77_28072,"Cro001G.19583.1.p1, Cro001G.19583.2.p1"
M9H77_28073,"CRO_T033672, CRO_T106441"
M9H77_28074,CRO_T033675
M9H77_28075,"CRO_T033674, CRO_T106439"
M9H77_28076,CrChr7.1242
M9H77_28078,"Cro001G.19579.1.p1, Cro001G.19579.3.p1, Cro001G.19579.4.p1, Cro001G.19579.5.p1, CRO_T106436"
M9H77_28081,"Cro001G.19577.1.p1, Cro001G.19577.2.p1, Cro001G.19577.3.p1, Cro001G.19577.4.p1, CrChr7.1238, CRO_T106428"
M9H77_28082,"CRO_T022149, CrChr7.1237, CRO_T106426"
M9H77_28083,CrChr7.1236
M9H77_28084,"CRO_T022150, CRO_T106423"
M9H77_28085,CRO_T019392
M9H77_28087,CRO_T013183
M9H77_28088,CrChr7.1232
M9H77_28089,CRO_T106420
M9H77_28091,"CRO_T027856, CRO_T106419"
M9H77_28092,"Cro001G.19573.1.p1, CrChr7.1227, CRO_T106417"
M9H77_28095,"CRO_T012091, CrChr7.1226, CRO_T106416"
M9H77_28096,"CRO_T012094, CRO_T106415"
M9H77_28097,CrChr7.1224
M9H77_28098,"CRO_T012092, Cro001G.19566.1.p1, CrChr7.1223, CRO_T106413"
M9H77_28100,"CRO_T030746, CrChr7.1221, CRO_T106411"
M9H77_28101,"CRO_T006805, CRO_T106410"
M9H77_28104,"CrChr7.1219, CRO_T106408"
M9H77_28105,"CRO_T013997, CRO_T106406"
M9H77_28109,"CRO_T007887, CrChr7.1215, CRO_T106400"
M9H77_28110,"Cro001G.19555.1.p1, CrChr7.1214, CRO_T106399"
M9H77_28111,CRO_T030179
M9H77_28112,Cro001G.19570.5.p1
M9H77_28113,CRO_T017286
M9H77_28114,"Cro001G.19571.1.p1, Cro001G.19571.2.p1, Cro001G.19571.3.p1, CRO_T106393"
M9H77_28116,"CRO_T006532, CRO_T106388"
M9H77_28117,CRO_T013724
M9H77_28118,"Cro001G.19553.1.p1, CrChr7.1206"
M9H77_28119,"CRO_T011752, CRO_T106384"
M9H77_28121,"Cro001G.19551.1.p1, CrChr7.1205"
M9H77_28123,CRO_T023151
M9H77_28124,CRO_T020253
M9H77_28125,"CRO_T020251, Cro001G.19549.1.p1, CrChr7.1203, CRO_T106377"
M9H77_28127,"Cro001G.19548.2.p1, Cro001G.19548.3.p1, CrChr7.1201"
M9H77_28128,CrChr7.1200
M9H77_28133,CRO_T011610
M9H77_28134,CRO_T031306
M9H77_28135,"CRO_T024305, CrChr7.1192, CRO_T106365"
M9H77_28136,CRO_T030230
M9H77_28137,"CRO_T005455, CrChr7.1191"
M9H77_28138,CRO_T015469
M9H77_28141,"CRO_T016153, CRO_T106358"
M9H77_28142,CRO_T004414
M9H77_28143,CRO_T005352
M9H77_28144,CRO_T032626
M9H77_28145,"CRO_T032625, CRO_T116169"
M9H77_28146,CRO_T022432
M9H77_28147,CRO_T006010
M9H77_28148,CRO_T017316
M9H77_28149,CRO_T027359
M9H77_28150,CRO_T022044
M9H77_28151,CRO_T021134
M9H77_28152,CRO_T026172
M9H77_28153,Cro001G.19539.1.p1
M9H77_28156,"CRO_T018643, CRO_T116162"
M9H77_28157,CRO_T025984
M9H77_28159,"CRO_T018731, CRO_T116158"
M9H77_28160,"CRO_T015317, CRO_T116157"
M9H77_28162,CRO_T016318
M9H77_28163,CRO_T004631
M9H77_28167,"CRO_T015777, CRO_T116145"
M9H77_28168,"CRO_T004692, CRO_T116144"
M9H77_28170,"CRO_T032852, Cro001G.19537.1.p2, CrChr7.1163"
M9H77_28171,"CRO_T032455, Cro001G.19536.1.p1, CRO_T112816"
M9H77_28174,CRO_T032456
M9H77_28175,CRO_T030266
M9H77_28176,"CRO_T030265, Cro001G.19534.1.p1, CrChr7.1160, CRO_T112820"
M9H77_28177,CRO_T007698
M9H77_28178,CRO_T009896
M9H77_28179,"CRO_T024470, CRO_T112823"
M9H77_28180,CRO_T029079
M9H77_28182,CRO_T021495
M9H77_28183,"Cro001G.19531.1.p1, Cro001G.19531.2.p1, Cro001G.19531.3.p1, CrChr7.1157, CRO_T112827"
M9H77_28187,CRO_T000885
M9H77_28189,CRO_T020785
M9H77_28190,"CRO_T020787, CRO_T112833"
M9H77_28191,"CRO_T020788, CrChr7.1156"
M9H77_28192,CRO_T031270
M9H77_28193,CRO_T031271
M9H77_28199,CRO_T014336
M9H77_28201,CRO_T014335
M9H77_28204,"CRO_T001575, CRO_T112849"
M9H77_28205,"CRO_T001572, CRO_T112850"
M9H77_28206,CRO_T001571
M9H77_28207,CRO_T001573
M9H77_28213,"CRO_T026614, CRO_T112860"
M9H77_28214,"CRO_T026613, Cro001G.19526.1.p1, CrChr7.1145, CRO_T112861"
M9H77_28216,CRO_T022969
M9H77_28219,"CRO_T019654, CRO_T112866"
M9H77_28220,CrChr7.1140
M9H77_28221,CRO_T019660
M9H77_28222,CRO_T019661
M9H77_28223,"CRO_T019662, CRO_T112868"
M9H77_28224,"CRO_T019655, Cro001G.19521.1.p1, Cro001G.19521.3.p1, Cro001G.19521.6.p1, Cro001G.19521.9.p1, CRO_T112869"
M9H77_28225,"Cro001G.19519.1.p1, CrChr7.1137"
M9H77_28226,"CRO_T019659, CRO_T112871"
M9H77_28229,"Cro001G.19518.1.p1, CrChr7.1128, CRO_T112877"
M9H77_28231,CRO_T008269
M9H77_28232,"Cro001G.19517.1.p1, CrChr7.1127"
M9H77_28234,"Cro001G.19515.1.p1, Cro001G.19515.2.p1, CrChr7.1124, CRO_T112884"
M9H77_28235,"CRO_T001708, Cro001G.19514.1.p1, CRO_T112886"
M9H77_28236,"Cro001G.19513.1.p1, CrChr7.1121, CRO_T112887"
M9H77_28237,CrChr7.1120
M9H77_28238,"Cro001G.19511.1.p1, CrChr7.1118"
M9H77_28239,CRO_T001511
M9H77_28241,CRO_T018397
M9H77_28242,Cro001G.19506.1.p1
M9H77_28243,Cro001G.19510.1.p1
M9H77_28244,"Cro001G.19505.1.p1, CrChr7.1114"
M9H77_28245,"CRO_T015310, Cro001G.19503.1.p1, CrChr7.1113, CRO_T112897"
M9H77_28246,"CRO_T021061, CRO_T112898"
M9H77_28247,"CRO_T003692, CRO_T121024"
M9H77_28248,"Cro001G.19500.1.p1, CrChr7.1110"
M9H77_28250,CRO_T028166
M9H77_28252,CRO_T000064
M9H77_28254,CRO_T019533
M9H77_28255,"CRO_T022117, CRO_T109252"
M9H77_28256,"CRO_T030659, CRO_T023083, CRO_T009262"
M9H77_28257,"CRO_T017453, CRO_T109257"
M9H77_28259,CRO_T017454
M9H77_28260,"CRO_T013762, CRO_T109258"
M9H77_28261,"Cro001G.19504.1.p1, CrChr7.1099"
M9H77_28262,"Cro001G.19496.1.p1, Cro001G.19496.2.p1, CrChr7.1098"
M9H77_28264,CRO_T031953
M9H77_28265,CRO_T031952
M9H77_28270,"CRO_T032708, Cro001G.19497.1.p1, CrChr7.1093, CRO_T109266"
M9H77_28271,"CRO_T007529, CRO_T109269"
M9H77_28272,"CRO_T001466, Cro001G.19494.1.p1, CRO_T109271"
M9H77_28274,"CRO_T009196, CRO_T109272"
M9H77_28275,CRO_T009195
M9H77_28278,"Cro001G.19495.1.p1, CrChr7.1089"
M9H77_28279,"CRO_T011882, Cro001G.19493.1.p1, CrChr7.1088, CRO_T109276"
M9H77_28280,"CRO_T011886, CRO_T109277"
M9H77_28281,"CRO_T011884, Cro001G.19492.2.p1, CRO_T109278"
M9H77_28285,"CRO_T024842, CRO_T109283"
M9H77_28289,"CRO_T028768, CRO_T109289"
M9H77_28295,"CRO_T001430, CRO_T112901"
M9H77_28297,CRO_T001431
M9H77_28298,Cro001G.14674.1.p1
M9H77_28301,Cro001G.14678.1.p1
M9H77_28303,"Cro001G.14676.1.p1, CrChr7.1078"
M9H77_28306,CRO_T006393
M9H77_28307,"CRO_T018103, CRO_T112914"
M9H77_28308,CRO_T003263
M9H77_28310,CRO_T008893
M9H77_28311,"Cro001G.14679.1.p1, CrChr7.1070, CRO_T112920"
M9H77_28312,"Cro001G.14680.1.p1, Cro001G.14680.2.p1"
M9H77_28313,CRO_T007879
M9H77_28315,"CRO_T007877, Cro001G.14681.1.p1, CrChr7.1068"
M9H77_28317,CRO_T007876
M9H77_28320,"Cro001G.14686.1.p1, CrChr7.1065"
M9H77_28321,CRO_T022043
M9H77_28324,CRO_T001486
M9H77_28325,"CRO_T005035, CrChr7.1063, CRO_T112935"
M9H77_28326,CRO_T112936
M9H77_28327,CRO_T009398
M9H77_28330,"Cro001G.14688.1.p1, Cro001G.14688.2.p1, Cro001G.14688.3.p1, CrChr7.1060, CRO_T112939"
M9H77_28332,CRO_T018970
M9H77_28333,CRO_T018972
M9H77_28334,"Cro001G.14708.1.p1, Cro001G.14708.2.p1, CrChr7.1059"
M9H77_28335,"CRO_T025054, Cro001G.14709.1.p1"
M9H77_28336,"CRO_T031170, Cro001G.14710.1.p1, Cro001G.14710.2.p1, Cro001G.14710.3.p1"
M9H77_28337,CRO_T031169
M9H77_28338,"CRO_T031168, Cro001G.14711.1.p1, CrChr7.1052"
M9H77_28339,"CRO_T033275, CrChr7.1051, CRO_T112945"
M9H77_28341,"CRO_T010602, CRO_T112948"
M9H77_28342,"Cro001G.14714.1.p1, CrChr7.1047, CRO_T112949"
M9H77_28349,"Cro001G.2063.2.p1, Cro001G.2063.3.p1"
M9H77_28353,Cro001G.2061.1.p1
M9H77_28354,"CRO_T027565, CRO_T107311"
M9H77_28356,CRO_T021221
M9H77_28357,CRO_T021224
M9H77_28360,CRO_T021222
M9H77_28361,"Cro001G.2068.1.p1, Cro001G.2068.2.p1, Cro001G.2068.4.p1, Cro001G.2068.5.p1, CrChr7.1034, CRO_T107320"
M9H77_28363,"CRO_T015608, CRO_T107322"
M9H77_28364,"CRO_T032525, Cro001G.2069.1.p1, CRO_T107326"
M9H77_28367,Cro001G.2072.1.p1
M9H77_28368,"CRO_T031252, Cro001G.2071.1.p1, CrChr7.1024"
M9H77_28369,"CRO_T031253, CRO_T107332"
M9H77_28373,"Cro001G.2079.1.p1, Cro001G.2079.2.p1, Cro001G.2079.4.p1, CrChr7.1021"
M9H77_28374,"Cro001G.2080.1.p1, CrChr7.1020"
M9H77_28375,"CRO_T005009, Cro001G.2081.1.p1, CRO_T107338"
M9H77_28376,CRO_T005010
M9H77_28377,CRO_T005011
M9H77_28378,CRO_T002033
M9H77_28379,CRO_T002032
M9H77_28382,CRO_T009433
M9H77_28383,CRO_T005376
M9H77_28384,"CRO_T025775, CrChr7.1014, CRO_T107346"
M9H77_28387,CRO_T023986
M9H77_28389,CRO_T005141
M9H77_28390,CrChr7.1010
M9H77_28391,"Cro001G.2084.1.p1, CrChr7.1009, CRO_T107351"
M9H77_28392,CRO_T007459
M9H77_28393,CRO_T018114
M9H77_28394,CRO_T007928
M9H77_28395,Cro001G.2087.1.p1
M9H77_28396,"CRO_T002672, CRO_T107356"
M9H77_28397,"Cro001G.2099.1.p1, Cro001G.2099.6.p1, Cro001G.2099.7.p1"
M9H77_28399,"CRO_T002676, Cro001G.2101.1.p1"
M9H77_28401,"Cro001G.2103.1.p1, Cro001G.2103.2.p1, Cro001G.2103.3.p1, Cro001G.2103.4.p1, CRO_T107361"
M9H77_28402,"CRO_T000884, Cro001G.2104.1.p1, CrChr7.998, CRO_T107362"
M9H77_28403,CrChr7.997
M9H77_28407,"CRO_T016643, CRO_T107365"
M9H77_28409,CRO_T013179
M9H77_28412,"CRO_T001450, CRO_T107370"
M9H77_28413,CRO_T020143
M9H77_28415,CRO_T020142
M9H77_28416,CRO_T004373
M9H77_28417,CRO_T000795
M9H77_28418,CRO_T031060
M9H77_28419,"Cro001G.2088.1.p1, CrChr7.991"
M9H77_28420,"CRO_T007592, CrChr7.990, CRO_T107378"
M9H77_28421,CRO_T007594
M9H77_28422,"CRO_T007593, Cro001G.2093.2.p2, CrChr7.989, CRO_T107381"
M9H77_28423,CRO_T033652
M9H77_28424,CRO_T007999
M9H77_28426,"Cro001G.2093.4.p1, Cro001G.2093.7.p1, CrChr7.988"
M9H77_28428,CrChr7.987
M9H77_28431,"Cro001G.2093.10.p1, Cro001G.2093.8.p1, CrChr7.986"
M9H77_28433,CRO_T024502
M9H77_28434,CRO_T005456
M9H77_28435,"CRO_T002975, CrChr7.985, CRO_T107388"
M9H77_28436,CRO_T020891
M9H77_28437,CRO_T009396
M9H77_28438,"Cro001G.2090.1.p1, Cro001G.2090.2.p1, CrChr7.984"
M9H77_28439,"Cro001G.2092.1.p1, CrChr7.982"
M9H77_28440,"CRO_T028492, CRO_T107393"
M9H77_28442,Cro001G.2097.1.p1
M9H77_28443,"CRO_T010411, CRO_T107397"
M9H77_28444,CRO_T021843
